rank,title,artist,streams,spotify_url,track_id
,Señorita,Shawn Mendes,3140905030,,
,BIRDS OF A FEATHER,Billie Eilish,3121042088,,
,Cruel Summer,Taylor Swift,3111306026,,
,Don't Start Now,Dua Lipa,3057886821,,
,Die With A Smile,Lady Gaga,3056375861,,
,goosebumps,Travis Scott,2966415777,,
,Love Yourself,Justin Bieber,2927424005,,
,Shallow,Lady Gaga,2909743240,,
,Thunder,Imagine Dragons,2848762890,,
,Let Me Love You,DJ Snake,2688248414,,
,Flowers,Miley Cyrus,2683068086,,
,Sorry,Justin Bieber,2593962312,,
,Seven,Jung Kook,2593012175,,
,The Scientist,Coldplay,2579945500,,
,Beautiful Things,Benson Boone,2523080682,,
,Cold Heart,Elton John,2518705977,,
,Uptown Funk,Mark Ronson,2457975205,,
,Clean Baby Sleep White Noise (Loopable),Dream Supplier,2455391011,,
,Before You Go,Lewis Capaldi,2308231831,,
,Seven,Jung Kook,2285910496,,
,Easy On Me,Adele,2279419492,,
,Another One Bites The Dust,Queen,2273943751,,
,La Bachata,Manuel Turizo,2273601017,,
,Faded,Alan Walker,2261364160,,
,I Took A Pill In Ibiza,Mike Posner,2255007560,,
,LA CANCIÓN,J Balvin,2242406402,,
,I'm Good (Blue),David Guetta,2223951928,,
,Me Rehúso,Danny Ocean,2200063764,,
,All I Want for Christmas Is You,Mariah Carey,2197730701,,
,One Of The Girls,The Weeknd,2194925256,,
,Shut Up and Dance,WALK THE MOON,2183571466,,
,Vem Dancar Kuduro,Lucenzo,2176828030,,
,Have You Ever Seen The Rain,Creedence Clearwater Revival,2156452666,,
,Dynamite,BTS,2139196407,,
,Me Porto Bonito,Bad Bunny,2135068638,,
,September,"Earth, Wind & Fire",2133019289,,
,I Ain't Worried,OneRepublic,2130023184,,
,Set Fire to the Rain,Adele,2129334914,,
,Roses (Imanbek Remix),SAINt JHN,2106236245,,
,Lose Control,Teddy Swims,2100722437,,
,Highway to Hell,AC/DC,2073230406,,
,Titanium,David Guetta,2068763257,,
,I Don't Care,Ed Sheeran,2068433144,,
,Ghost,Justin Bieber,2062030916,,
,Who,Jimin,2061654867,,
,APT.,ROSÉ,2059272215,,
,Be Alright,Dean Lewis,2055668234,,
,Seven Nation Army,The White Stripes,2038604699,,
,Bad Habits,Ed Sheeran,2033098151,,
,Cheerleader (Felix Jaehn Remix),OMI,2028756676,,
,Fuck Love,XXXTENTACION,2024805621,,
,Despacito,Luis Fonsi,2013774264,,
,Hotel California,Eagles,2011222158,,
,Thunderstruck,AC/DC,1996051820,,
,Under Pressure,Queen,1995917854,,
,Save Your Tears (Remix),The Weeknd,1990795695,,
,Me Rehúso,Danny Ocean,1988553658,,
,Back In Black,AC/DC,1986333044,,
,Woman,Doja Cat,1985709394,,
,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,1977546205,,
,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1970459915,,
,Timber,Pitbull,1956599968,,
,Sweet but Psycho,Ava Max,1933614570,,
,Shivers,Ed Sheeran,1931108106,,
,What Do You Mean?,Justin Bieber,1923079352,,
,Anti-Hero,Taylor Swift,1914546378,,
,Best Part,Daniel Caesar,1910721932,,
,Last Christmas,Wham!,1904906183,,
,I Gotta Feeling,Black Eyed Peas,1894415180,,
,Lover,Taylor Swift,1891853350,,
,Talking to the Moon,Bruno Mars,1876096566,,
,Clean Baby Sleep White Noise (Loopable),Dream Supplier,1873931846,,
,Enemy,Imagine Dragons,1872947375,,
,Enter Sandman,Metallica,1859756960,,
,Ric Flair Drip,Offset,1855600806,,
,Wow.,Post Malone,1854717985,,
,you broke me first,Tate McRae,1853436770,,
,Despacito,Luis Fonsi,1840940123,,
,Unholy,Sam Smith,1838862543,,
,Tití Me Preguntó,Bad Bunny,1833524901,,
,Young And Beautiful,Lana Del Rey,1828233901,,
,Gata Only,FloyyMenor,1824342783,,
,Stolen Dance,Milky Chance,1817676371,,
,Chop Suey!,System Of A Down,1813916484,,
,Californication,Red Hot Chili Peppers,1809153926,,
,cardigan,Taylor Swift,1803770194,,
,Losing My Religion,R.E.M.,1797227813,,
,Come As You Are,Nirvana,1788506797,,
,I Like It,Cardi B,1788274542,,
,Cake By The Ocean,MUSIC LAB JPN,1786988123,,
,Rockabye,Clean Bandit,1771771531,,
,I Fall Apart,Post Malone,1771756524,,
,Under the Bridge,Red Hot Chili Peppers,1770328907,,
,Symphony,Clean Bandit,1768956623,,
,Ojitos Lindos,Bad Bunny,1768784091,,
,Fortunate Son,Creedence Clearwater Revival,1767199298,,
,Unstoppable,Sia,1762157509,,
,24K Magic,Bruno Mars,1761452339,,
,2002,Anne-Marie,1759254792,,
,ROCKSTAR,DaBaby,1753069416,,
,One Of The Girls,The Weeknd,1736785430,,
,End of Beginning,Djo,1732868337,,
,Safe And Sound,Capital Cities,1730108490,,
,Drip Too Hard,Lil Baby,1726558538,,
,Pepas,Farruko,1724884158,,
,Clean White Noise,White Noise Baby Sleep,1720942107,,
,Always Remember Us This Way,Lady Gaga,1717518333,,
,What Makes You Beautiful,One Direction,1714952638,,
